aX,aY,aZ,gX,gY,gZ
-0.134,0.157,0.893,10.559,5.249,-4.395
-0.106,0.293,0.941,1.343,4.272,0.244
-0.105,0.319,0.967,-1.160,4.517,0.732
-0.112,0.309,0.925,2.808,4.822,0.366
-0.103,0.337,0.895,3.540,2.075,0.610
0.031,1.196,1.990,-11.108,-35.828,65.796
0.056,1.276,2.092,8.362,-15.747,25.391
0.088,1.242,2.450,1.343,-5.066,3.113
0.065,1.176,2.558,-49.805,55.237,-32.837
0.038,1.195,2.544,-73.242,93.933,-47.668
0.006,1.249,2.542,-100.647,175.110,-93.994
-0.140,1.118,2.102,-106.140,218.811,-128.845
-0.222,0.971,1.976,-104.736,262.634,-168.518
-0.429,0.472,1.807,-106.934,295.227,-172.852
-0.469,0.179,1.513,-111.023,333.679,-182.068
-0.455,-0.045,1.047,-110.962,326.599,-172.729
-0.419,-0.044,0.943,-123.779,319.519,-139.771
-0.297,-0.015,0.706,-130.615,322.021,-128.662
-0.258,0.000,0.606,-107.056,316.772,-111.450
-0.254,-0.120,0.482,-98.083,312.012,-100.098
-0.232,-0.200,0.358,-124.573,301.880,-75.500
-0.097,-0.284,0.004,-122.864,276.733,-67.078
0.011,-0.202,-0.036,-106.018,233.643,-58.228
0.230,0.182,0.122,-83.496,140.259,-40.771
0.327,0.187,0.222,-79.102,113.831,-39.978
0.433,0.354,0.261,-72.815,107.483,-22.827
0.439,0.468,0.088,-83.374,114.868,-15.442
0.435,0.514,-0.105,-106.750,102.234,-15.930
0.484,0.630,-0.227,-113.220,81.421,-18.555
0.523,0.670,-0.183,-98.694,44.434,-37.781
0.480,0.403,-0.307,-79.895,28.625,-52.002
0.423,0.256,-0.449,-61.340,-15.991,-58.533
0.365,0.290,-0.431,-64.514,-39.978,-49.316
0.385,0.408,-0.303,-55.847,-73.975,-39.429
0.332,0.366,-0.223,-26.794,-90.576,-47.241
0.248,0.184,-0.291,27.222,-138.306,-59.448
0.052,-0.087,-0.344,29.602,-167.480,-51.147
-0.053,-0.141,-0.330,8.301,-193.604,-14.648
-0.270,-0.374,-0.354,-14.771,-179.626,10.742
-0.324,-0.371,-0.487,-34.851,-142.639,68.298
-0.423,0.008,-0.789,-35.889,-152.344,85.632
-0.450,0.173,-0.680,-45.471,-224.121,99.915
-0.458,0.321,-0.237,-34.851,-253.601,101.929
