aX,aY,aZ,gX,gY,gZ
0.308,0.895,1.141,64.636,-108.398,-18.555
0.258,0.772,1.305,61.279,-105.347,-29.724
0.252,0.684,1.379,56.396,-98.999,-39.185
0.235,0.589,1.384,36.560,-76.111,-50.781
0.202,0.542,1.321,22.217,-71.350,-49.255
0.201,0.661,1.414,16.663,-73.669,-43.640
0.257,0.831,1.446,29.297,-63.843,-51.331
0.276,0.784,1.354,41.870,-49.194,-76.477
0.241,0.587,1.410,33.813,-47.729,-84.412
0.192,0.511,1.493,26.062,-39.001,-90.210
0.124,0.370,1.351,28.442,-32.654,-90.393
0.147,0.331,1.289,26.611,-37.842,-87.097
0.203,0.258,1.328,21.179,-37.109,-85.937
0.218,0.235,1.287,8.179,-23.560,-83.252
0.195,0.147,1.227,2.747,-21.484,-82.703
0.186,0.102,1.234,-2.930,-21.362,-81.787
0.210,0.109,1.340,-14.648,-19.470,-77.576
0.225,0.090,1.341,-15.198,-14.343,-77.332
0.203,-0.083,1.326,-14.282,-4.333,-79.163
0.183,-0.140,1.327,-17.334,0.000,-76.599
0.174,-0.174,1.327,-18.005,5.432,-67.322
0.183,-0.166,1.287,-14.954,7.874,-62.561
0.204,-0.158,1.225,-16.968,14.099,-54.993
0.241,-0.184,1.134,-18.127,15.137,-52.185
0.244,-0.207,1.096,-12.512,12.634,-47.302
0.216,-0.240,1.059,-8.789,10.010,-44.800
0.209,-0.234,1.054,-10.010,10.742,-34.973
0.229,-0.186,1.019,-14.587,14.038,-29.053
0.245,-0.165,0.947,-21.912,19.897,-20.142
